순위,제목,장르
1,Supernova,aespa
2,How Sweet,NewJeans
3,Bubble Gum,NewJeans
4,소나기,이클립스 (ECLIPSE)
5,SPOT! (feat. JENNIE),지코 (ZICO)
6,고민중독,QWER
7,해야 (HEYA),IVE (아이브)
8,Magnetic,아일릿(ILLIT)
9,Armageddon,aespa
10,나는 아픈 건 딱 질색이니까,(여자)아이들
11,첫 만남은 계획대로 되지 않아,TWS (투어스)
12,미안해 미워해 사랑해,Crush
13,천상연,이창섭
14,한 페이지가 될 수 있게,DAY6 (데이식스)
15,예뻤어,DAY6 (데이식스)
16,SHEESH,BABYMONSTER
17,에피소드,이무진
18,Love wins all,아이유
19,비의 랩소디,임재현
20,Hype Boy,NewJeans
21,밤양갱,비비 (BIBI)
22,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
23,Welcome to the Show,DAY6 (데이식스)
24,ETA,NewJeans
25,I AM,IVE (아이브)
26,To. X,태연 (TAEYEON)
27,Drama,aespa
28,헤어지자 말해요,박재정
29,Super Shy,NewJeans
30,Seven (feat. Latto) - Clean Ver.,정국
31,슬픈 초대장,순순희 (지환)
32,사랑은 늘 도망가,임영웅
33,Ditto,NewJeans
34,Spicy,aespa
35,사랑인가 봐,멜로망스
36,Attention,NewJeans
37,그랬나봐,유회승 (엔플라잉)
38,MAESTRO,세븐틴 (SEVENTEEN)
39,너의 모든 순간,성시경
40,인사,범진
41,Accendio,IVE (아이브)
42,Perfect Night,LE SSERAFIM (르세라핌)
43,봄눈,10CM
44,EASY,LE SSERAFIM (르세라핌)
45,OMG,NewJeans
46,Midas Touch,KISS OF LIFE
47,MANIAC,VIVIZ (비비지)
48,Smart,LE SSERAFIM (르세라핌)
49,퀸카 (Queencard),(여자)아이들
50,Love 119,RIIZE
51,청혼하지 않을 이유를 못 찾았어,이무진
52,Girls Never Die,tripleS (트리플에스)
53,Lucky Girl Syndrome,아일릿(ILLIT)
54,사건의 지평선,윤하 (YOUNHA)
55,Love Lee,AKMU (악뮤)
56,사막에서 꽃을 피우듯,우디 (Woody)
57,LOVE DIVE,IVE (아이브)
58,주저하는 연인들을 위해,잔나비
59,Run Run,이클립스 (ECLIPSE)
60,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
61,I Don't Think That I Like Her,Charlie Puth
62,꿈,태연 (TAEYEON)
63,Get A Guitar,RIIZE
64,Lips (Feat. 지젤 of aespa),볼빨간사춘기
65,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
66,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
67,우리들의 블루스,임영웅
68,취중고백,김민석
69,다정히 내 이름을 부르면,경서예지
70,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
71,그대가 내 안에 박혔다(그내박),순순희(기태)
72,사랑하지 않아서 그랬어,임한별
73,심(心),DK(디셈버)
74,Dynamite,방탄소년단
75,홀씨,아이유
76,You & Me,제니 (JENNIE)
77,손오공,세븐틴 (SEVENTEEN)
78,Baddie,IVE (아이브)
79,봄날,방탄소년단
80,모래 알갱이,임영웅
81,온기,임영웅
82,Impossible,RIIZE
83,Siren,RIIZE
84,Kitsch,IVE (아이브)
85,꿈결같아서,민니 ((여자)아이들)
86,다시 만날 수 있을까,임영웅
87,이제 나만 믿어요,임영웅
88,청춘찬가,세븐틴 (SEVENTEEN)
89,Home,임영웅
90,WAY 4 LUV,PLAVE
91,Do or Die,임영웅
92,무지개,임영웅
93,Balloon in Love,선미
94,London Boy,임영웅
95,Polaroid,임영웅
96,Super Lady,(여자)아이들
97,인생찬가,임영웅
98,"Steal The Show (From ""Elemental"")",Lauv
99,후라이의 꿈,AKMU (악뮤)
100,Blue Moon,엔플라잉 (N.Flying)
