Rank,Title,GoodsNo,Class
1,리틀 라이프 1,28995741,"13,320"
2,하루 한 장 나의 어휘력을 위한 필사 노트,125557465,"21,420"
3,리틀 라이프 2,28995747,"13,320"
4,불변의 법칙,124999476,"22,500"
5,선재 업고 튀어 대본집 세트,126721830,"45,000"
6,나는 다정한 관찰자가 되기로 했다,126516935,"16,020"
7,세이노의 가르침,117014613,"6,480"
8,나를 소모하지 않는 현명한 태도에 관하여,125295101,"16,020"
9,마흔에 읽는 쇼펜하우어,122120495,"15,300"
10,그의 운명에 대한 아주 개인적인 생각,127094902,"15,120"
11,초역 부처의 말,126590468,"16,020"
12,돈의 심리학 (30만 부 기념 스페셜 에디션),96547408,"17,820"
13,THE MONEY BOOK 더 머니북,126702038,"19,800"
14,남에게 보여주려고 인생을 낭비하지 마라,122944685,"15,750"
15,모순,8759796,"11,700"
16,"꽃길이 따로 있나, 내 삶이 꽃인 것을",125576919,"15,120"
17,부자의 마지막 가르침,126348287,"17,820"
18,국어 잘하는 아이가 이깁니다,125384743,"15,750"
19,ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,124043812,"17,820"
20,빨모쌤의 라이브 영어회화,125992096,"19,800"
21,나의 돈키호테,125969665,"16,200"
22,신화의 숲,126511412,"16,200"
23,ETS 토익 정기시험 기출문제집 1000 Vol. 4 LC,124043802,"17,820"
24,나는 메트로폴리탄 미술관의 경비원입니다,123675187,"15,750"
25,찌그러져도 동그라미입니다,125384202,"16,020"
26,밸류에이션을 알면 10배 주식이 보인다,126528622,"18,000"
27,아주 세속적인 지혜,117933045,"12,150"
28,나는 읽고 쓰고 버린다,126010792,"15,300"
29,"오십, 나는 재미있게 살기로 했다",126300407,"15,300"
30,내 몸 혁명,124225606,"17,550"
31,엄마의 역사 편지,3799295,"19,800"
32,흔한남매 과학 탐험대 10 생태계,126680204,"13,320"
33,2024 에듀윌 공인중개사 심정욱 합격패스 암기노트 : 1차 민법 및 민사특별법,126809444,"17,100"
34,이처럼 사소한 것들,123400303,"12,420"
35,원피스 ONE PIECE 108,126643743,"4,950"
36,일류의 조건,125491624,"17,820"
37,설민석의 한국사 대모험 29,126714995,"11,700"
38,홀썸의 집밥 예찬,126644334,"22,500"
39,바빌론의 부자 멘토와 꼬마 제자,126644449,"16,650"
40,"2024 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",123930880,"14,400"
41,도둑맞은 집중력,118579613,"16,920"
42,그 속에서 놀던 세트,127068456,"33,300"
43,흔한남매 16,126029503,"13,050"
44,나는 나의 스무 살을 가장 존중한다,124926484,"16,200"
45,"2024 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",123930891,"13,950"
46,니체 인생수업 : 니체가 세상에 남긴 66가지 인생지혜,125617545,"15,750"
47,컬러의 세계,126340224,"17,820"
