순위,제목,채널명,조회수
1,[2026 FIFA 북중미 월드컵 아시아 2차 예선] 대한민국 vs 중국 풀 하이라이트,쿠팡플레이 스포츠,2345987
2,한국➡일본 이륙합니다✈ 항공 승무원 알바ㅣ워크돌ㅣ엔믹스 해원,워크맨-Workman,1284273
3,"빠니보틀과 노홍철이 충격받은 북극 현재 상황 (+궤도, 남극아님)",노홍철,527293
4,안녕하세요 피지컬갤러리 제작팀입니다,피지컬갤러리,1529982
5,[내꺼내먹_홍콩반점 2편] 지금도 계속 변화 중입니다.,백종원 PAIK JONG WON,5557386
6,대한민국 VS 중국 : 2026 FIFA 월드컵 아시아 2차 예선 하이라이트 - 2024.06.11,KFATV_대한민국 축구 국가대표팀,1145347
7,"인생최초로 온가족 함께 시골여행 간 손태영♥권상우 부부 (누룽지백숙 먹방,권상우 사주)",Mrs.뉴저지 손태영,343731
8,4년만에 우유가 코대표보다 비싼 아파트로 이사갔습니다!,초코우유 Chocouyu,185184
9,"[VLOG] 수고했어요 아빠 (엄마 없이 3일, 부산일상과 세자매 싸움썰)",리쥬라이크 LIJULIKE,660619
10,여자친구랑 친언니랑 태국 가다,다나나,235991
11,[연애남매_어땠냐면] 지루할 틈 없네! 남매들과 최종 커플이 말아주는 '연애남매' 리뷰 | 티저 | 웨이브,wavve 웨이브,252194
12,"""300배 빠른"" 드라이에이징 스테이크 먹어봤습니다 (with 긱블)",육식맨 YOOXICMAN,324342
13,빠니보틀의 비밀 연애,카더정원,671479
14,먹2U 중간 점검! 김동 이동의 오붓한 베이글 데이트 | 김동 이동의 먹2U EP.7,NCT,217356
15,[#라디오스타] 김숙 집 청소 알바?! 대작 배우 최강희의 연기 복귀 선언 ㅣ#최강희 MBC 240612 방송,라디오스타,344044
16,"유준이네 브이로그 (feat. 혜주, 조땡, 먹태, 현지)",아옳이,476741
17,선미(SUNMI) 'Balloon in Love' MV,선미 SUNMI,310155
18,낯선 온천마을에서.. 가슴 떠껀한 3일⎪🇹🇼대만2,원지의하루,532464
19,미국 픽사 본사 방문기(feat. 인사이드아웃2),인생84,359994
20,[MV] BOL4(볼빨간사춘기) - Lips (Feat. GISELLE(지젤) of aespa),SUPER SOUND Bugs!,112263
21,이 환자 누가 진단 했습니까?,너덜트,1266509
22,맛있는 오이물김치는 절인 다음이 중요해요!! 오이 향이 살아있고 간이 잘 배는 오이물김치 비법✔️,딸을 위한 레시피 Recipes for daughters,207944
23,지은이야..그거 너무 파인거 아니야?,위라클 WERACLE,588644
24,둘째 성별 확인하고 온 조두팔,조두팔,361291
25,"NAYEON ""ABCD"" M/V Teaser 2",JYP Entertainment,1217876
26,[SUB] 현아의 보석함 오픈 조목밤에 어반자카파가 왔어요 l EP.76 l 조현아의 목요일 밤 l 권순일 박용인 조현아,조현아의 목요일 밤,375375
27,이게 은갈치라고? 어마무시한 가격에 큰맘 먹고 샀더니 경악~!,입질의추억TV jiminTV,477542
28,김준수(XIA) ‘스물한 번째 계절이 널 기다릴 테니까(Our Season)’ MV,김준수 XIA,732101
29,"[ENG] 김지원의 첫 캐리어 공개! 가장 설레는 '눈물의 여왕' 장면은?!🐈‍⬛💜(선글라스, 향수, 샤워기 필터, 립밤) | MYVOGUE",VOGUE KOREA,213834
30,[밥묵자] 할...아저씨 사랑해요(feat.이수지),꼰대희,2661695
31,vlog * 피시방 알바 브이로그 | 신메뉴 출시 (소떡소떡 아님),도민이,167734
32,Boom Boom Bass (Preview),RIIZE - Topic,108394
33,"백승수가 갈궈 키운 보석 유경택 전력분석팀장! 보수적이지만 은근 따수워,,  #스토브리그 #모았캐치 #SBSCatch",SBS Catch,166036
34,공주들아 배틀을 신청한다!ㅣEXO 수호&키스오브라이프 벨 [셀폰KODE],KODE 코드,508756
35,[sub]1억 명이.... 도대체 몇 명이야(??????),요정재형,654896
36,"REUNION MEGA MIX (feat. Cha jinhyuck, MOYO, Yyeon, Kang hankook, Damyoung, XIN, PiLO, KOONTA,...",TimeFeveR - Topic,259990
37,逆光 (Ado)  from ONE PIECE FILM RED ㅣ 藍璃かんな Cover,아이리 칸나 Music Official,653328
38,Arcane Season 2 | Official Teaser Trailer,League of Legends,3793581
39,(ENG) 뭘 좋아할지 몰라서 다 준비한 김혜윤 단독 게스트 비하인드 | KIM HYE YOON | BEHIND Mhz,Mhz 므흐즈,185329
40,이것이 온가족 공동육아! 가족들과 보낸 깨알 일상 모음집.zip,해쭈 [HAEJOO],536093
